Country Name,Country Code,Year,Investment
Poland,POL,2000,9335000000.0
Czechia,CZE,2000,4987079129.26384
Poland,POL,2001,5677000000.0
Czechia,CZE,2001,5640707235.87483
Poland,POL,2002,4091000000.0
Czechia,CZE,2002,8496609035.7758
Poland,POL,2003,5371000000.0
Czechia,CZE,2003,2021275745.95501
Poland,POL,2004,13868000000.0
Czechia,CZE,2004,6423465150.75736
Poland,POL,2005,11041000000.0
Czechia,CZE,2005,13730164683.4592
Poland,POL,2006,21473000000.0
Czechia,CZE,2006,7132002407.70599
Poland,POL,2007,25031000000.0
Czechia,CZE,2007,13815656003.7033
Poland,POL,2008,14574000000.0
Czechia,CZE,2008,8815393022.10815
Poland,POL,2009,14025000000.0
Czechia,CZE,2009,5271613701.7927
Poland,POL,2010,18542000000.0
Czechia,CZE,2010,10167834374.8186
Poland,POL,2011,18309000000.0
Czechia,CZE,2011,4188736491.29368
Poland,POL,2012,7180000000.0
Czechia,CZE,2012,9433199804.77647
Poland,POL,2013,3029000000.0
Czechia,CZE,2013,7357578652.57
Poland,POL,2014,20455000000.0
Czechia,CZE,2014,8088661929.8803
Poland,POL,2015,15598000000.0
Czechia,CZE,2015,1699914616.60242
Poland,POL,2016,17750000000.0
Czechia,CZE,2016,10850612308.2062
Poland,POL,2017,11999000000.0
Czechia,CZE,2017,11234740946.0941
Poland,POL,2018,19204000000.0
Czechia,CZE,2018,8324668391.46793
Poland,POL,2019,17619000000.0
Czechia,CZE,2019,10752120870.768
Poland,POL,2020,19151000000.0
Czechia,CZE,2020,8515481807.56744
Poland,POL,2021,36172000000.0
Czechia,CZE,2021,12890950336.4655
Poland,POL,2022,36900000000.0
Czechia,CZE,2022,10529730878.5701
Poland,POL,2023,31576000000.0
Czechia,CZE,2023,8225354599.29861
