Country Name,Country Code,Year,Manufacture Growth
Czechia,CZE,2000,9.46173782335168
Czechia,CZE,2001,4.16956395066524
Czechia,CZE,2002,3.92286651364771
Czechia,CZE,2003,0.278278156151529
Czechia,CZE,2004,8.62791126251774
Czechia,CZE,2005,14.4465179558216
Czechia,CZE,2006,20.6017805589217
Czechia,CZE,2007,6.51060219311279
Czechia,CZE,2008,8.16407015892757
Czechia,CZE,2009,-12.4638885119633
Czechia,CZE,2010,11.6474674145204
Czechia,CZE,2011,11.054608506904
Czechia,CZE,2012,-4.02932570350958
Czechia,CZE,2013,-1.25567075511287
Czechia,CZE,2014,3.57543170948598
Czechia,CZE,2015,7.5834683229717
Czechia,CZE,2016,4.5732908678787
Czechia,CZE,2017,8.66550856905806
Czechia,CZE,2018,1.8864488092284
Czechia,CZE,2019,4.68293711042851
Czechia,CZE,2020,-11.3860374662763
Czechia,CZE,2021,5.06473660205629
Czechia,CZE,2022,7.56795331510941
Czechia,CZE,2023,1.49378643812872
Poland,POL,2000,0.145032632342264
Poland,POL,2001,-1.20394685185346
Poland,POL,2002,2.47785735100625
Poland,POL,2003,12.0156140940465
Poland,POL,2004,12.9514666174333
Poland,POL,2005,4.78311505220358
Poland,POL,2006,16.4924732860151
Poland,POL,2007,14.0727349826476
Poland,POL,2008,8.3620284864611
Poland,POL,2009,1.806413173004
Poland,POL,2010,13.9142347902423
Poland,POL,2011,5.55328514881543
Poland,POL,2012,2.71905662673259
Poland,POL,2013,-3.48636433799642
Poland,POL,2014,11.6324913802402
Poland,POL,2015,7.07550627386435
Poland,POL,2016,5.26651523166444
Poland,POL,2017,1.87262596254749
Poland,POL,2018,5.79636131503352
Poland,POL,2019,6.21108813349205
Poland,POL,2020,-5.48376767582866
Poland,POL,2021,-2.15263813603777
Poland,POL,2022,13.270340679684
Poland,POL,2023,-0.619972735990217
,,2000,
,,2000,
,,2000,
,,2001,
,,2001,
,,2001,
,,2002,
,,2002,
,,2002,
,,2003,
,,2003,
,,2003,
,,2004,
,,2004,
,,2004,
,,2005,
,,2005,
,,2005,
,,2006,
,,2006,
,,2006,
,,2007,
,,2007,
,,2007,
,,2008,
,,2008,
,,2008,
,,2009,
,,2009,
,,2009,
,,2010,
,,2010,
,,2010,
,,2011,
,,2011,
,,2011,
,,2012,
,,2012,
,,2012,
,,2013,
,,2013,
,,2013,
,,2014,
,,2014,
,,2014,
,,2015,
,,2015,
,,2015,
,,2016,
,,2016,
,,2016,
,,2017,
,,2017,
,,2017,
,,2018,
,,2018,
,,2018,
,,2019,
,,2019,
,,2019,
,,2020,
,,2020,
,,2020,
,,2021,
,,2021,
,,2021,
,,2022,
,,2022,
,,2022,
,,2023,
,,2023,
,,2023,
